"MUNDISSEC","total_len","lcc_len","connectivity","year"
"08019302009",729.064285304182,729.064285304182,1,2018
"08019302010",187.609703060678,187.609703060678,1,2018
"08019302011",272.827033889676,272.827033889676,1,2018
"08019302012",325.599364248007,325.599364248007,1,2018
"08019302013",1071.45575378946,1071.45575378946,1,2018
"08019302014",56.070669978006,56.070669978006,1,2018
"08019302015",126.228972056596,126.228972056596,1,2018
"08019302016",881.806814896492,881.806814896492,1,2018
"08019302017",403.715695275375,403.715695275375,1,2018
"08019302018",149.611729309706,149.611729309706,1,2018
"08019302019",737.851427195275,737.851427195275,1,2018
"08019302020",1242.20595295045,1242.20595295045,1,2018
"08019302021",546.256608831712,546.256608831712,1,2018
"08019302022",299.935200673766,299.935200673766,1,2018
"08019302023",276.350587660026,276.350587660026,1,2018
"08019302024",303.680795193539,303.680795193539,1,2018
"08019302027",259.270753669088,259.270753669088,1,2018
"08019302028",134.039414891713,134.039414891713,1,2018
"08019302029",133.833799756016,133.833799756016,1,2018
"08019302032",396.739377412291,396.739377412291,1,2018
"08019302033",137.930012810719,137.930012810719,1,2018
"08019302037",135.250701227298,135.250701227298,1,2018
"08019302039",135.415109951615,135.415109951615,1,2018
"08019302040",522.443200539265,522.443200539265,1,2018
"08019302041",19.9269739039208,19.9269739039208,1,2018
"08019302043",274.843527235529,274.843527235529,1,2018
"08019302044",263.356371665367,263.356371665367,1,2018
"08019302048",273.512200119271,273.512200119271,1,2018
"08019302049",770.084300023458,770.084300023458,1,2018
"08019302051",385.392816785713,385.392816785713,1,2018
"08019302052",590.491577115065,590.491577115065,1,2018
"08019302053",282.936800383749,282.936800383749,1,2018
"08019302055",133.418747121141,133.418747121141,1,2018
"08019302056",750.20668181625,750.20668181625,1,2018
"08019302057",575.211866449355,575.211866449355,1,2018
"08019302058",134.222579869771,134.222579869771,1,2018
"08019302059",132.620856672813,132.620856672813,1,2018
"08019302060",743.547149685444,743.547149685444,1,2018
"08019302061",533.031479715248,533.031479715248,1,2018
"08019302062",334.454273738278,334.454273738278,1,2018
"08019302063",618.208352893399,618.208352893399,1,2018
"08019302064",134.187501150272,134.187501150272,1,2018
"08019302065",134.485648909721,134.485648909721,1,2018
"08019302066",134.052966501852,134.052966501852,1,2018
"08019302067",667.5189029655,667.5189029655,1,2018
"08019302068",435.266240308356,435.266240308356,1,2018
"08019302069",373.582530804063,373.582530804063,1,2018
"08019302070",133.475754374474,133.475754374474,1,2018
"08019302071",936.128863230903,936.128863230903,1,2018
"08019302072",563.229342875212,563.229342875212,1,2018
"08019302073",481.490991369683,481.490991369683,1,2018
"08019302075",200.221128213823,200.221128213823,1,2018
"08019302076",550.315526932869,550.315526932869,1,2018
"08019302077",157.338950114563,157.338950114563,1,2018
"08019302078",920.316536504986,920.316536504986,1,2018
"08019302079",702.20423996639,702.20423996639,1,2018
"08019302080",295.835836804276,295.835836804276,1,2018
"08019302081",371.438747940149,371.438747940149,1,2018
"08019302082",649.882414731301,649.882414731301,1,2018
"08019302083",465.902323176798,465.902323176798,1,2018
"08019302084",267.653154918256,267.653154918256,1,2018
"08019302085",837.890472948129,837.890472948129,1,2018
"08019302086",421.764567716352,421.764567716352,1,2018
"08019302088",537.532083047557,537.532083047557,1,2018
"08019302089",133.712180791951,133.712180791951,1,2018
"08019302090",134.82038468668,134.82038468668,1,2018
"08019302091",820.322526262493,820.322526262493,1,2018
"08019302092",422.227868020481,422.227868020481,1,2018
"08019302093",267.309218926262,267.309218926262,1,2018
"08019302094",268.298075604993,268.298075604993,1,2018
"08019302095",402.753937534544,402.753937534544,1,2018
"08019302096",269.580356390579,269.580356390579,1,2018
"08019302099",131.286423099708,131.286423099708,1,2018
"08019302100",141.322917121057,141.322917121057,1,2018
